Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_0,Embarked_1,Embarked_2
0.5,1.0,0.4185278181577904,0.0,0.0,0.025374310111545468,0.0,0.0,1.0
0.5,1.0,0.31280560327738866,0.25,0.0,0.061483905270283246,0.0,0.0,1.0
0.5,1.0,0.39209726443768994,0.0,0.0,0.020901209612881715,0.0,1.0,0.0
0.0,1.0,0.31280560327738866,0.125,0.0,0.16057390443488287,0.0,0.0,1.0
0.5,1.0,0.2467292189771376,0.0,0.0,0.020494635090094415,0.0,0.0,1.0
1.0,1.0,0.39209726443768994,0.0,0.0,0.013760683560491965,0.0,0.0,1.0
0.0,1.0,0.32602088013743885,0.0,0.0,0.050748620223090936,1.0,0.0,0.0
1.0,1.0,0.07493061979648474,0.375,0.1111111111111111,0.04113566043083236,0.0,0.0,1.0
0.0,1.0,0.6035416941984935,0.0,0.0,0.15458810467956932,1.0,0.0,0.0
1.0,1.0,0.18065283467688648,0.0,0.0,0.01800600082915438,0.0,0.0,1.0
1.0,1.0,0.32602088013743885,0.0,0.0,0.015468569817999833,0.0,0.0,1.0
1.0,0.0,0.1277917272366856,0.625,0.2222222222222222,0.09154270340242172,0.0,0.0,1.0
1.0,1.0,0.4053125412977402,0.375,0.0,0.03513366015444757,0.0,0.0,1.0
0.0,1.0,0.22029866525703715,0.0,0.0,0.09193307740413781,0.0,0.0,1.0
1.0,1.0,0.39209726443768994,0.0,0.0,0.015126992566498259,0.0,1.0,0.0
0.5,1.0,0.45817364873794103,0.0,0.0,0.024105594605968193,0.0,1.0,0.0
1.0,1.0,0.31280560327738866,0.0,0.0,0.015175789316712771,0.0,0.0,1.0
1.0,1.0,0.39209726443768994,0.0,0.0,0.015126992566498259,0.0,1.0,0.0
1.0,1.0,0.2995903264173384,0.0,0.0,0.013760683560491965,0.0,0.0,1.0
1.0,1.0,0.3524514338575393,0.0,0.0,0.016908073949327893,0.0,0.0,1.0
1.0,0.0,0.3524514338575393,0.125,0.0,0.015468569817999833,0.0,0.0,1.0
1.0,0.0,0.39209726443768994,0.0,0.4444444444444444,0.049707687947515,0.0,0.0,1.0
1.0,1.0,0.22029866525703715,0.0,0.0,0.015411575213749286,0.0,0.0,1.0
0.5,1.0,0.2995903264173384,0.0,0.0,0.020494635090094415,0.0,0.0,1.0
1.0,1.0,0.39209726443768994,0.0,0.0,0.014102260811993537,1.0,0.0,0.0
1.0,0.0,0.2863750495572882,0.0,0.0,0.015078195816283748,0.0,1.0,0.0
1.0,1.0,0.39209726443768994,0.0,0.0,0.015411575213749286,0.0,0.0,1.0
0.5,1.0,0.8017708470992467,0.0,0.0,0.024105594605968193,0.0,1.0,0.0
1.0,1.0,0.14761464252676093,0.125,0.1111111111111111,0.028302115124416098,0.0,0.0,1.0
0.0,1.0,0.39209726443768994,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.07493061979648474,0.0,0.2222222222222222,0.2625265161540666,1.0,0.0,0.0
1.0,1.0,0.39209726443768994,0.0,0.0,0.012565163180236457,1.0,0.0,0.0
0.0,0.0,0.2863750495572882,0.0,0.1111111111111111,0.1209753416358076,1.0,0.0,0.0
0.5,1.0,0.3392361569974891,0.125,0.1111111111111111,0.056604230248832196,0.0,0.0,1.0
0.5,0.0,0.007797013347429629,0.125,0.2222222222222222,0.05416439273810667,0.0,0.0,1.0
0.5,0.0,0.2863750495572882,0.0,0.0,0.04098927018018883,0.0,0.0,1.0
1.0,1.0,0.39209726443768994,0.0,0.0,0.017005667449756914,0.0,0.0,1.0
0.5,1.0,0.3524514338575393,0.125,0.0,0.050748620223090936,0.0,0.0,1.0
1.0,1.0,0.23351394211708737,0.0,0.0,0.016908073949327893,0.0,0.0,1.0
1.0,1.0,0.39209726443768994,0.25,0.0,0.04231498029001666,1.0,0.0,0.0
1.0,1.0,0.4317430950178406,0.0,0.0,0.015330377421392339,0.0,0.0,1.0
0.0,1.0,0.2995903264173384,0.0,0.0,0.18249984580226933,0.0,0.0,1.0
0.0,1.0,0.4713889255979913,0.0,0.0,0.1468620176246054,1.0,0.0,0.0
1.0,1.0,0.39209726443768994,0.0,0.0,0.015126992566498259,0.0,1.0,0.0
0.0,0.0,0.8282014008193472,0.125,0.0,0.4328841690069588,0.0,0.0,1.0
1.0,1.0,0.2863750495572882,0.0,0.0,0.014102260811993537,1.0,0.0,0.0
0.0,1.0,0.696048632218845,0.0,0.0,0.055628295244541985,1.0,0.0,0.0
1.0,0.0,0.2995903264173384,0.0,0.0,0.015330377421392339,0.0,0.0,1.0
1.0,1.0,0.7951632086692216,0.0,0.0,,0.0,0.0,1.0
0.0,0.0,0.4053125412977402,0.0,0.0,0.2625265161540666,1.0,0.0,0.0
1.0,1.0,0.4053125412977402,0.0,0.0,0.015094396337354966,0.0,1.0,0.0
0.0,0.0,0.3392361569974891,0.125,0.0,0.26697521827762305,1.0,0.0,0.0
0.0,0.0,0.39209726443768994,0.0,0.0,0.32179836714362564,0.0,0.0,1.0
1.0,1.0,0.39209726443768994,0.0,0.0,0.015126992566498259,0.0,1.0,0.0
0.5,1.0,0.24012158054711247,0.0,0.0,0.025374310111545468,0.0,0.0,1.0
0.5,0.0,0.25994449583718776,0.0,0.0,0.07173122281533045,0.0,0.0,1.0
1.0,1.0,0.39209726443768994,0.125,0.0,0.028220722145058292,1.0,0.0,0.0
0.0,1.0,0.6564028016386944,0.125,0.1111111111111111,0.41282050681475896,1.0,0.0,0.0
1.0,0.0,0.2995903264173384,0.0,0.0,0.016908073949327893,0.0,0.0,1.0
1.0,1.0,0.39209726443768994,0.0,0.0,0.015411575213749286,0.0,0.0,1.0
1.0,1.0,0.39209726443768994,0.0,0.0,0.014110458666029575,1.0,0.0,0.0
0.5,0.0,0.4053125412977402,0.0,0.0,0.04098927018018883,0.0,0.0,1.0
0.0,0.0,0.45817364873794103,0.0,0.0,0.41282050681475896,1.0,0.0,0.0
0.0,0.0,0.4317430950178406,0.0,0.0,0.05410739813385612,1.0,0.0,0.0
0.5,0.0,0.37888198757763975,0.125,0.0,0.050748620223090936,0.0,0.0,1.0
1.0,1.0,0.4713889255979913,0.0,0.0,0.018542765081513996,0.0,0.0,1.0
0.0,1.0,0.4846042024580415,0.125,0.1111111111111111,0.16231419173453318,1.0,0.0,0.0
1.0,0.0,0.39209726443768994,0.0,0.0,0.015126992566498259,0.0,1.0,0.0
0.0,0.0,0.629972247918594,0.125,0.1111111111111111,0.15458810467956932,1.0,0.0,0.0
0.0,0.0,0.7753402933791463,0.25,0.0,0.10048070654571319,0.0,0.0,1.0
0.0,1.0,0.7092639090788952,0.125,0.0,0.1082149914547131,1.0,0.0,0.0
0.0,1.0,0.4317430950178406,0.0,0.0,0.051822148727810165,0.0,0.0,1.0
1.0,0.0,0.39209726443768994,0.0,0.0,0.015712553569072387,0.0,0.0,1.0
1.0,1.0,0.5242500330381922,0.125,0.6666666666666666,0.09154270340242172,0.0,0.0,1.0
1.0,1.0,0.006607638430025108,0.0,0.1111111111111111,0.018249984580226933,0.0,0.0,1.0
1.0,1.0,0.2995903264173384,0.125,0.0,0.027130993119267845,0.0,0.0,1.0
1.0,1.0,0.39209726443768994,0.0,0.0,0.015712553569072387,0.0,0.0,1.0
0.5,0.0,0.39209726443768994,0.125,0.0,0.027049600139910042,1.0,0.0,0.0
0.0,0.0,0.4713889255979913,0.0,0.0,0.5121218935012878,1.0,0.0,0.0
1.0,0.0,0.39209726443768994,0.0,0.0,0.015183987170748809,0.0,1.0,0.0
0.5,0.0,0.10136117351658518,0.125,0.1111111111111111,0.050748620223090936,0.0,0.0,1.0
0.5,1.0,0.10136117351658518,0.0,0.2222222222222222,0.06343577527886367,0.0,0.0,1.0
1.0,0.0,0.39209726443768994,0.0,0.0,0.014891206669461744,0.0,1.0,0.0
1.0,1.0,0.39209726443768994,0.125,1.0,0.13575255909676825,0.0,0.0,1.0
1.0,1.0,0.39209726443768994,0.0,0.0,0.015712553569072387,0.0,0.0,1.0
0.0,1.0,0.5506805867582927,0.0,0.0,0.051822148727810165,0.0,0.0,1.0
0.0,0.0,0.2995903264173384,0.0,0.1111111111111111,0.16231419173453318,1.0,0.0,0.0
1.0,1.0,0.39209726443768994,0.0,0.0,0.015411575213749286,0.0,0.0,1.0
1.0,1.0,0.25994449583718776,0.0,0.0,0.014102260811993537,1.0,0.0,0.0
1.0,1.0,0.3392361569974891,0.0,0.0,0.015175789316712771,0.0,0.0,1.0
0.0,1.0,0.8810625082595481,0.125,0.0,0.4328841690069588,0.0,0.0,1.0
0.5,1.0,0.4713889255979913,0.0,0.0,0.025374310111545468,0.0,0.0,1.0
0.5,0.0,0.37888198757763975,0.0,0.2222222222222222,0.044893010197349675,0.0,0.0,1.0
1.0,1.0,0.23351394211708737,0.25,0.2222222222222222,0.06709553154495196,0.0,0.0,1.0
1.0,1.0,0.16743755781683628,0.0,0.2222222222222222,0.03952536767375352,0.0,0.0,1.0
0.0,0.0,0.273159772697238,0.0,0.0,0.051822148727810165,0.0,0.0,1.0
0.5,0.0,0.23351394211708737,0.125,0.1111111111111111,0.025374310111545468,0.0,0.0,1.0
0.5,1.0,0.273159772697238,0.0,0.0,0.025374310111545468,0.0,0.0,1.0
0.0,0.0,0.3524514338575393,0.125,0.1111111111111111,0.4831284260198326,1.0,0.0,0.0
0.5,1.0,0.022069512356283863,0.125,0.1111111111111111,0.044893010197349675,0.0,0.0,1.0
0.5,1.0,0.23351394211708737,0.0,0.0,0.020494635090094415,0.0,0.0,1.0
1.0,1.0,0.39209726443768994,0.0,0.0,0.013663090060062943,0.0,0.0,1.0
1.0,1.0,0.37888198757763975,0.375,0.1111111111111111,0.04298993693898376,0.0,0.0,1.0
1.0,1.0,0.2863750495572882,0.0,0.0,0.015712553569072387,0.0,0.0,1.0
1.0,1.0,0.39209726443768994,0.0,0.0,0.014736618564782174,0.0,0.0,1.0
0.0,0.0,0.3524514338575393,0.125,0.2222222222222222,0.10149724044618187,0.0,0.0,1.0
0.0,0.0,0.7885555702391965,0.125,0.4444444444444444,0.5133418122566507,0.0,0.0,1.0
1.0,0.0,0.39209726443768994,0.0,0.0,0.015126992566498259,0.0,1.0,0.0
1.0,1.0,0.3656667107175895,0.0,0.0,0.014151057562208049,0.0,0.0,1.0
0.0,0.0,1.0,0.125,0.0,0.15390495017656614,0.0,0.0,1.0
0.5,1.0,0.3656667107175895,0.0,0.0,0.050748620223090936,0.0,0.0,1.0
0.0,0.0,0.5903264173384433,0.0,0.0,0.5121218935012878,1.0,0.0,0.0
1.0,1.0,0.37888198757763975,0.0,0.0,0.015468569817999833,0.0,0.0,1.0
1.0,1.0,0.2863750495572882,0.0,0.0,0.015175789316712771,0.0,0.0,1.0
0.0,1.0,0.4053125412977402,0.0,0.0,0.05570149036986375,1.0,0.0,0.0
0.0,1.0,0.273159772697238,0.0,0.1111111111111111,0.11980421963065935,1.0,0.0,0.0
1.0,0.0,0.273159772697238,0.0,0.0,0.016908073949327893,0.0,0.0,1.0
0.0,1.0,0.5506805867582927,0.0,0.0,0.051822148727810165,0.0,0.0,1.0
0.0,0.0,0.45817364873794103,0.125,0.0,0.11272049299551928,1.0,0.0,0.0
1.0,1.0,0.273159772697238,0.0,0.0,0.015216388212891242,0.0,0.0,1.0
0.0,1.0,0.6167569710585438,0.125,0.0,0.4440992237022602,1.0,0.0,0.0
0.0,0.0,0.23351394211708737,0.125,0.0,0.10364429745562033,0.0,0.0,1.0
0.0,1.0,0.6167569710585438,0.0,0.0,0.08275928836380983,0.0,0.0,1.0
1.0,1.0,0.32602088013743885,0.0,0.0,0.015411575213749286,0.0,0.0,1.0
1.0,1.0,0.31280560327738866,0.0,0.0,0.01820118783001242,0.0,0.0,1.0
