epoch,step,train/loss,val/loss
0,49,27471.9921875,
0,99,13545.826171875,
0,149,22459.5078125,
0,199,29352.859375,
0,204,,23992.81640625
1,249,15940.4755859375,
1,299,17057.02734375,
1,349,20695.080078125,
1,399,30424.91015625,
1,409,,24126.3125
2,449,43357.1640625,
2,499,30889.966796875,
2,549,21456.44921875,
2,599,22717.6640625,
2,614,,24201.8515625
3,649,6610.7431640625,
3,699,15984.94921875,
3,749,13349.138671875,
3,799,12889.4853515625,
3,819,,24062.09765625
4,849,24651.41796875,
4,899,9410.4794921875,
4,949,34526.296875,
4,999,15273.115234375,
4,1024,,24188.640625
5,1049,29345.009765625,
5,1099,16948.69140625,
5,1149,28016.08984375,
5,1199,39916.4296875,
5,1229,,24095.572265625
6,1249,27041.3515625,
6,1299,15538.236328125,
6,1349,18423.4765625,
6,1399,31533.509765625,
6,1434,,24347.55078125
7,1449,20989.97265625,
7,1499,27883.33984375,
7,1549,13231.087890625,
7,1599,20577.126953125,
7,1639,,23912.119140625
8,1649,19592.736328125,
8,1699,21779.0625,
8,1749,28662.82421875,
8,1799,42038.625,
8,1844,,23985.748046875
9,1849,31940.755859375,
9,1899,20028.828125,
9,1949,18989.158203125,
9,1999,32093.765625,
9,2049,16593.828125,
9,2049,,23853.830078125
10,2099,17814.37890625,
10,2149,29318.486328125,
10,2199,17665.435546875,
10,2249,23690.609375,
10,2254,,24159.23046875
11,2299,31779.9140625,
11,2349,22388.33984375,
11,2399,29053.66015625,
11,2449,18000.30859375,
11,2459,,23984.064453125
12,2499,16478.73046875,
12,2549,17681.140625,
12,2599,33133.7734375,
12,2649,17931.86328125,
12,2664,,23960.044921875
13,2699,32376.7109375,
13,2749,23956.8125,
13,2799,18663.359375,
13,2849,26184.134765625,
13,2869,,24046.3203125
14,2899,15777.5,
14,2949,11726.6435546875,
14,2999,31628.703125,
14,3049,47251.02734375,
14,3074,,23879.759765625
15,3099,29103.47265625,
15,3149,11758.982421875,
15,3199,44053.2109375,
15,3249,22595.82421875,
15,3279,,24026.455078125
16,3299,23533.13671875,
16,3349,18790.294921875,
16,3399,26965.962890625,
16,3449,23091.447265625,
16,3484,,23875.041015625
17,3499,35357.2578125,
17,3549,30456.55078125,
17,3599,30299.984375,
17,3649,29349.2265625,
17,3689,,23946.0234375
18,3699,27591.7109375,
18,3749,17162.43359375,
18,3799,29697.11328125,
18,3849,28080.923828125,
18,3894,,23929.931640625
19,3899,18622.138671875,
19,3949,28195.8828125,
19,3999,42254.47265625,
19,4049,19403.7421875,
19,4099,33449.31640625,
19,4099,,23939.76953125
20,4149,15861.1181640625,
20,4199,66165.421875,
20,4249,17859.73046875,
20,4299,21851.537109375,
20,4304,,23941.203125
21,4349,21554.19921875,
21,4399,34511.47265625,
21,4449,13216.6201171875,
21,4499,14821.5234375,
21,4509,,23797.578125
22,4549,30307.970703125,
22,4599,12521.1748046875,
22,4649,24275.91796875,
22,4699,33008.109375,
22,4714,,23836.857421875
23,4749,25905.07421875,
23,4799,21538.5859375,
23,4849,15182.1826171875,
23,4899,34257.953125,
23,4919,,23793.615234375
24,4949,29014.837890625,
24,4999,19806.470703125,
24,5049,38532.9921875,
24,5099,29304.853515625,
24,5124,,23815.25
25,5149,27166.3515625,
25,5199,37247.71484375,
25,5249,20953.72265625,
25,5299,19532.09765625,
25,5329,,23865.63671875
26,5349,38785.1640625,
26,5399,15278.423828125,
26,5449,9520.53515625,
26,5499,25731.345703125,
26,5534,,23794.140625
27,5549,15463.640625,
27,5599,25647.703125,
27,5649,30358.580078125,
27,5699,25075.798828125,
27,5739,,23914.98828125
28,5749,46603.20703125,
28,5799,25926.931640625,
28,5849,20415.390625,
28,5899,34402.9296875,
28,5944,,23968.130859375
29,5949,26225.734375,
29,5999,22771.6875,
29,6049,29094.740234375,
29,6099,14598.177734375,
29,6149,26424.34765625,
29,6149,,23764.662109375
30,6199,20773.806640625,
30,6249,25378.984375,
30,6299,26086.6484375,
30,6349,27301.11328125,
30,6354,,24334.048828125
31,6399,14663.3271484375,
31,6449,19020.99609375,
31,6499,13808.396484375,
31,6549,29175.541015625,
31,6559,,23748.96484375
32,6599,49191.0078125,
32,6649,25301.07421875,
32,6699,45026.109375,
32,6749,35510.35546875,
32,6764,,24201.75
33,6799,23808.98046875,
33,6849,44000.859375,
33,6899,17406.65625,
33,6949,20371.79296875,
33,6969,,23841.63671875
34,6999,45517.4921875,
34,7049,24239.81640625,
34,7099,24776.96875,
34,7149,45464.8671875,
34,7174,,23692.794921875
35,7199,19295.9765625,
35,7249,34725.2265625,
35,7299,11069.6240234375,
35,7349,27260.03515625,
35,7379,,23911.470703125
36,7399,29823.185546875,
36,7449,32904.546875,
36,7499,25981.0703125,
36,7549,13028.05859375,
36,7584,,23747.7578125
37,7599,22958.1484375,
37,7649,15828.703125,
37,7699,48676.0234375,
37,7749,37829.2890625,
37,7789,,23664.974609375
38,7799,22250.18359375,
38,7849,32559.490234375,
38,7899,14843.62890625,
38,7949,18096.35546875,
38,7994,,24054.185546875
39,7999,29728.05859375,
39,8049,15570.287109375,
39,8099,10900.982421875,
39,8149,21597.671875,
39,8199,20781.41796875,
39,8199,,23927.8125
