epoch,step,train/loss,train_mae_epoch,train_mape_epoch,train_msle_epoch,train_msqe_epoch,val/loss,val_mae_epoch,val_mape_epoch,val_msle_epoch,val_msqe_epoch
0,49,24913.6171875,,,,,,,,,
0,99,29897.486328125,,,,,,,,,
0,149,27631.587890625,,,,,,,,,
0,199,32131.390625,,,,,,,,,
0,204,,,,,,26962.8203125,125.44063568115234,5.205841064453125,nan,27812.728515625
0,204,,140.79539489746094,6.159662246704102,nan,35247.05859375,,,,,
1,249,19340.484375,,,,,,,,,
1,299,15230.25390625,,,,,,,,,
1,349,13110.640625,,,,,,,,,
1,399,28354.671875,,,,,,,,,
1,409,,,,,,25285.599609375,122.02830505371094,4.958417892456055,nan,26567.466796875
1,409,,130.5244598388672,5.71075963973999,nan,30519.30859375,,,,,
2,449,30324.595703125,,,,,,,,,
2,499,16275.39453125,,,,,,,,,
2,549,22723.3515625,,,,,,,,,
2,599,20844.79296875,,,,,,,,,
2,614,,,,,,25072.447265625,120.70612335205078,4.8769354820251465,nan,26073.96484375
2,614,,126.28457641601562,5.447201728820801,nan,28739.294921875,,,,,
3,649,22023.875,,,,,,,,,
3,699,45792.92578125,,,,,,,,,
3,749,35446.109375,,,,,,,,,
3,799,35078.28125,,,,,,,,,
3,819,,,,,,25017.21484375,120.29823303222656,4.890938758850098,nan,25811.697265625
3,819,,123.9972152709961,5.298578262329102,nan,27787.08984375,,,,,
4,849,24666.931640625,,,,,,,,,
4,899,14979.626953125,,,,,,,,,
4,949,25315.490234375,,,,,,,,,
4,999,25093.23828125,,,,,,,,,
4,1024,,,,,,24945.580078125,119.31671905517578,4.781533718109131,nan,25639.484375
4,1024,,122.6030044555664,5.217335224151611,nan,27191.1875,,,,,
5,1049,9768.3349609375,,,,,,,,,
5,1099,36741.26953125,,,,,,,,,
5,1149,24974.72265625,,,,,,,,,
5,1199,29014.30859375,,,,,,,,,
5,1229,,,,,,25204.796875,118.44652557373047,4.65065860748291,nan,25567.392578125
5,1229,,121.68146514892578,5.1617431640625,nan,26791.802734375,,,,,
6,1249,15592.595703125,,,,,,,,,
6,1299,23126.765625,,,,,,,,,
6,1349,32123.6328125,,,,,,,,,
6,1399,30089.525390625,,,,,,,,,
6,1434,,,,,,24739.40234375,117.96651458740234,4.610225677490234,nan,25449.6015625
6,1434,,120.98348236083984,5.113423824310303,nan,26491.623046875,,,,,
7,1449,16442.716796875,,,,,,,,,
7,1499,20666.00390625,,,,,,,,,
7,1549,36534.94140625,,,,,,,,,
7,1599,13705.111328125,,,,,,,,,
7,1639,,,,,,24634.08984375,117.66555786132812,4.596280097961426,nan,25348.037109375
7,1639,,120.41290283203125,5.078543186187744,nan,26251.302734375,,,,,
8,1649,21308.53515625,,,,,,,,,
8,1699,12319.466796875,,,,,,,,,
8,1749,24668.13671875,,,,,,,,,
8,1799,44490.421875,,,,,,,,,
8,1844,,,,,,24660.95703125,117.75521087646484,4.641787052154541,nan,25271.943359375
8,1844,,119.97518920898438,5.050958156585693,nan,26064.3984375,,,,,
9,1849,21616.736328125,,,,,,,,,
9,1899,45365.1953125,,,,,,,,,
9,1949,17507.6171875,,,,,,,,,
9,1999,20437.8203125,,,,,,,,,
9,2049,5554.1513671875,,,,,,,,,
9,2049,,,,,,25094.6953125,117.34178161621094,4.575328350067139,nan,25254.2734375
9,2049,,119.63423919677734,5.030591011047363,nan,25909.529296875,,,,,
10,2099,22289.92578125,,,,,,,,,
10,2149,34425.04296875,,,,,,,,,
10,2199,22101.12890625,,,,,,,,,
10,2249,24413.6015625,,,,,,,,,
10,2254,,,,,,24541.611328125,117.30432891845703,4.593487739562988,nan,25189.669921875
10,2254,,119.30543518066406,5.011856555938721,nan,25781.814453125,,,,,
11,2299,16298.03125,,,,,,,,,
11,2349,16382.27734375,,,,,,,,,
11,2399,38170.11328125,,,,,,,,,
11,2449,36988.9375,,,,,,,,,
11,2459,,,,,,24559.259765625,117.17139434814453,4.58612585067749,nan,25137.275390625
11,2459,,119.06392669677734,5.000432014465332,nan,25675.845703125,,,,,
12,2499,41927.96875,,,,,,,,,
12,2549,16508.6484375,,,,,,,,,
12,2599,22433.51171875,,,,,,,,,
12,2649,28683.47265625,,,,,,,,,
12,2664,,,,,,24582.140625,116.9897232055664,4.573630332946777,nan,25094.662109375
12,2664,,118.88005065917969,4.990686416625977,nan,25589.498046875,,,,,
13,2699,25148.20703125,,,,,,,,,
13,2749,24035.302734375,,,,,,,,,
13,2799,16436.01171875,,,,,,,,,
13,2849,18774.84375,,,,,,,,,
13,2869,,,,,,24831.916015625,117.19447326660156,4.613221645355225,nan,25075.93359375
13,2869,,118.70543670654297,4.979247093200684,nan,25510.8359375,,,,,
14,2899,6914.869140625,,,,,,,,,
14,2949,13273.572265625,,,,,,,,,
14,2999,16997.31640625,,,,,,,,,
14,3049,23449.400390625,,,,,,,,,
14,3074,,,,,,24927.8984375,117.41535186767578,4.651416778564453,nan,25066.08203125
14,3074,,118.55919647216797,4.973227024078369,nan,25445.185546875,,,,,
15,3099,28401.552734375,,,,,,,,,
15,3149,42627.984375,,,,,,,,,
15,3199,38638.375,,,,,,,,,
15,3249,36304.1328125,,,,,,,,,
15,3279,,,,,,24588.615234375,117.34748840332031,4.6467671394348145,nan,25036.29296875
15,3279,,118.444091796875,4.972570419311523,nan,25383.935546875,,,,,
16,3299,21299.984375,,,,,,,,,
16,3349,19336.423828125,,,,,,,,,
16,3399,17242.833984375,,,,,,,,,
16,3449,22239.359375,,,,,,,,,
16,3484,,,,,,24478.576171875,117.2311782836914,4.639041900634766,nan,25003.537109375
16,3484,,118.32511138916016,4.966644763946533,nan,25329.072265625,,,,,
17,3499,29441.8671875,,,,,,,,,
17,3549,39024.1015625,,,,,,,,,
17,3599,33452.0625,,,,,,,,,
17,3649,29922.34765625,,,,,,,,,
17,3689,,,,,,25066.734375,116.99910736083984,4.597914218902588,nan,25007.04296875
17,3689,,118.21402740478516,4.962176322937012,nan,25285.19921875,,,,,
18,3699,25572.416015625,,,,,,,,,
18,3749,34425.42578125,,,,,,,,,
18,3799,13178.603515625,,,,,,,,,
18,3849,23601.02734375,,,,,,,,,
18,3894,,,,,,24599.86328125,117.05672454833984,4.615983486175537,nan,24985.654296875
18,3894,,118.08979797363281,4.955362319946289,nan,25237.259765625,,,,,
19,3899,10389.0322265625,,,,,,,,,
19,3949,11657.744140625,,,,,,,,,
19,3999,27077.21484375,,,,,,,,,
19,4049,15214.587890625,,,,,,,,,
19,4099,14055.4833984375,,,,,,,,,
19,4099,,,,,,24463.001953125,116.95935821533203,4.608990669250488,nan,24959.556640625
19,4099,,117.98193359375,4.950016021728516,nan,25192.533203125,,,,,
20,4149,12646.294921875,,,,,,,,,
20,4199,35623.453125,,,,,,,,,
20,4249,35640.265625,,,,,,,,,
20,4299,21957.513671875,,,,,,,,,
20,4304,,,,,,24508.26171875,116.84837341308594,4.599997520446777,nan,24938.099609375
20,4304,,117.89739990234375,4.946241855621338,nan,25155.380859375,,,,,
21,4349,36334.3125,,,,,,,,,
21,4399,28393.8203125,,,,,,,,,
21,4449,19505.943359375,,,,,,,,,
21,4499,22002.978515625,,,,,,,,,
21,4509,,,,,,24699.8046875,116.93915557861328,4.616908073425293,nan,24927.2890625
21,4509,,117.80486297607422,4.943706512451172,nan,25115.51171875,,,,,
22,4549,29469.080078125,,,,,,,,,
22,4599,19166.552734375,,,,,,,,,
22,4649,16816.62890625,,,,,,,,,
22,4699,24889.068359375,,,,,,,,,
22,4714,,,,,,24421.658203125,116.9181900024414,4.621078014373779,nan,24905.337890625
22,4714,,117.74514770507812,4.942742824554443,nan,25086.185546875,,,,,
23,4749,35893.55078125,,,,,,,,,
23,4799,25855.6484375,,,,,,,,,
